Posição,País,População,Área (km²),Densidade (habitantes por km²)
0,Macau,649 335,"28,6",22 402
1,Mônaco,37 308,"2,02",18 713
2,Singapura,5 638 700,"716,1",7 874
3,Hong Kong,7 184 000,1 104,6 544
4,Vaticano,825,"0,49",1 891
5,Malta,417 617,316,1 321
6,Maldivas,427 756,300,1 426
7,Bangladesh,163 220 762,144 000,1 113
8,Bahrein,1 442 659[1],665,1 035
9,Barbados,279 254,431,647
10,Taiwan,22 894 384,35 980,636
11,Nauru,13 048,21,621
12,Ilhas Maurícias,1 230 562,2 040,603
13,Coreia do Sul,51.446.202,99.720,507
14,San Marino,28.889,"61,2",471
15,Tuvalu,11.636,26,447
—,Porto Rico,3.916.632,9.104,430
—,Palestina,2.385.615,5.860,407
16,Países Baixos,17.100.475,41.528,406
—,Martinica,432.900,1.100,393
—,Aruba,71.566,180,370
17,Líbano,3.826.018,10.400,367
18,Bélgica,10.364.388,30.528,339
19,Japão,127.417.244,377.835,337
—,Região Autónoma da Madeira,267.785,801,334
20,Índia,1.404.239.110,3.287.590,328
21,Ilhas Marshall,59.071,"181,3",325
22,Ruanda,8.440.820,26.338,320
23,El Salvador,6.704.932,21.040,318
24,Comores,671.247,2.170,309
—,Ilhas Virgens Americanas,108.708,352,308
—,Reunião,776.948,2.517,308
—,Guam,168.564,549,307
25,Sri Lanka,20.064.776,65.610,305
26,Israel,6.276.883,20.770,302
27,São Vicente e Granadinas,117.534,389,302
28,Filipinas,87.857.473,300.000,292
29,Haiti,8.121.622,27.750,292
—,Samoa Americana,57.881,199,290
—,Canárias,2.070.465,7.447,272
30,Santa Lúcia,166.312,616,269
31,Granada,90.550,344,263
32,Vietname,83.535.576,329.560,253
—,Guadalupe,448.713,1.780,252
33,Jamaica,2.731.832,10.991,248
34,Reino Unido,59.553.800,244.820,243
35,Alemanha,82.431.390,357.021,230
—,Antilhas Holandesas,219.958,800,229
36,Burundi,6.370.609,27.830,228
37,Trinidad e Tobago,1.088.644,5.128,212
38,Liechtenstein,33.717,160,210
39,Paquistão,162.419.946,803.940,202
40,Nepal,27.676.547,140.800,196
41,Itália,58.103.033,301.230,192
42,Coreia do Norte,22.912.177,120.540,190
43,São Tomé e Príncipe,187.410,1.001,187
44,República Dominicana,8.950.034,48.730,183
45,Suíça,7.489.370,41.290,181
46,Luxemburgo,468.571,2.586,181
47,Seicheles,81.188,455,178
48,Andorra,81.222,476,174
—,Ilhas Caimã,44.270,262,170
—,Marianas Setentrionais,80.362,477,168
49,Antígua e Barbuda,68.722,443,155
50,Estados Federados da Micronésia,108.105,702,153
51,Tonga,112.422,748,150
52,São Cristóvão e Neves,38.958,261,149
—,Ilhas Virgens Britânicas,22.643,153,147
—,Atol Johnston,396,"2,8",141
53,Gâmbia,1.593.256,11.300,140
—,Toquelau,1.405,10,140
54,Nigéria,128.771.988,923.768,139
55,China,1.306.313.812,9.596.960,136
56,Guatemala,14.655.189,108.890,134
57,Moldávia,4.455.421,33.843,131
58,Kuwait,2.335.648,17.820,131
—,Ilha de Man,75.049,572,131
59,Chéquia,10.241.138,78.866,129
—,Anguila,13.254,102,129
60,Tailândia,65.444.371,514.000,127
61,Kiribati,103.092,811,127
62,Indonésia,241.973.879,1.919.440,126
63,Dinamarca,5.432.335,43.094,126
64,Albânia,3.563.112,28.748,123
65,Polónia,38.635.144,312.685,123
66,Uganda,27.269.482,236.040,115
67,Portugal,10.223.980,92.090,114
—,União Europeia,494.070.000,4.422.773,112
68,Eslováquia,5.431.363,48.845,111
69,França (Metropolitana),60.656.178,547.030,110
70,Hungria,10.084.000,93.030,108
—,Açores,243.101,2.333,104
71,Cabo Verde,418.224,4.033,103
72,Malawi,12.158.924,118.480,102
73,Cuba,11.346.670,110.860,102
74,Sérvia,8.850.012,88.361,100
75,Armênia,2.982.904,29.800,100
76,Togo,5.681.519,56.785,99
77,Síria,18.448.752,185.180,99
78,Eslovênia,2.011.070,20.273,99
79,Áustria,8.184.691,83.870,97
80,Roménia/Roménia,22.329.977,237.500,94
81,Dominica,69.029,754,91
82,Espanha,46.063.511,504.782,91
83,Azerbaijão,7.911.974,86.600,91
—,Monserrate,9.341,102,91
85,Turquia,69.660.559,780.580,89
—,Ilhas Cook,21.388,240,89
87,Gana,21.029.853,239.460,87
88,Chipre,780.133,9.250,84
89,Serra Leoa,6.017.643,71.740,83
90,Grécia,10.668.354,131.940,80
91,Macedônia do Norte,2.045.262,25.333,80
92,Croácia,4.495.904,56.542,79
93,Bósnia e Herzegovina,4.025.476,51.129,78
94,Costa Rica,4.016.173,51.100,78
95,Ucrânia,47.425.336,603.700,78
96,Egito,77.505.756,1.001.450,77
97,Catar,863.051,11.437,75
98,Camboja,13.607.069,181.040,75
99,Marrocos,32.725.847,446.550,73
100,Malásia,23.953.136,329.750,72
101,Timor-Leste,1.040.880,15.007,69
102,Essuatíni,1.173.900,17.363,67
103,Bulgária,7.450.349,110.910,67
104,Geórgia,4.677.401,69.700,67
105,Benim,7.460.025,112.620,66
106,Etiópia,120.000.000,1.127.127,64
107,Brunei,372.361,5.770,64
—,Polinésia Francesa,270.485,4.167,64
108,Myanmar,42.909.464,678.500,63
109,Jordânia,5.759.732,92.300,62
110,Honduras,6.975.204,112.090,62
111,Tunísia,10.074.951,163.610,61
112,Lesoto,1.867.035,30.355,61
113,Samoa,177.287,2.944,60
114,Uzbequistão,26.851.195,447.400,60
115,Iraque,26.074.906,437.072,59
116,Quênia,33.829.590,582.650,58
—,Wallis e Futuna,16.025,274,58
118,Irlanda,4.015.676,70.280,57
119,Senegal,11.126.832,196.190,56
120,Lituânia,3.596.617,65.200,55
121,México,106.202.903,1.972.550,53
122,Costa do Marfim,17.298.040,322.460,53
—,Ilha Norfolk,1.841,35,52
124,Burquina Fasso,13.925.313,274.200,50
125,Tajiquistão,7.163.506,143.100,50
126,Bielorrússia,10.300.483,207.600,49
127,Fiji,893.354,18.270,48
128,Butão,2.232.291,47.000,47
129,Equador,13.363.593,283.560,47
—,Turcas e Caicos,20.556,430,47
131,Afeganistão,29.928.987,647.500,46
132,Montenegro,620.029,13.812,44
133,Palau,20.303,458,44
—,Ilhas Cocos (Keeling),629,14,44
135,Nicarágua,5.465.100,129.494,42
136,Irão,68.017.860,1.648.000,41
137,Iêmen,20.727.063,527.970,39
138,Guiné-Bissau,2.026.778,36.125,56
139,Tanzânia,36.766.356,945.087,38
140,Panamá,3.039.150,78.200,38
141,Guiné,9.467.866,245.857,38
142,Colômbia,42.954.279,1.138.910,37
143,Eritreia/Eritreia,4.561.599,121.320,37
144,África do Sul,44.344.136,1.219.912,36
145,Letônia/Letónia,2.290.237,64.589,35
146,Camarões,16.380.005,475.440,34
147,Estados Unidos,308.745.538,9.631.418,"33,75"
—,Ilhas Feroé,46.962,1.399,33
149,Zimbabwe,12.746.990,390.580,32
150,Libéria,3.482.211,111.370,31
151,Emirados Árabes Unidos,2.563.212,82.880,30
152,Madagáscar,18.040.341,587.040,30
153,Estónia/Estónia,1.332.893,45.226,29
—,São Pedro e Miquelão,7.012,242,28
155,Venezuela,25.375.281,912.050,27
156,Laos,6.217.141,236.800,26
157,Quirguistão,5.146.281,198.500,25
158,República Democrática do Congo,60.085.004,2.345.410,25
159,Moçambique,19.406.703,801.590,24
160,Brasil,201.032.714,8.515.049,23
161,Peru,27.925.628,1.285.220,21
162,Bahamas,301.790,13.940,21
163,Chile,16.136.137,756.950,21
164,Djibouti,476.703,23.000,20
165,Suécia,9.001.774,449.964,20
166,Angola,24.300.000,1.246.700,19
